"FIRM","PRICE","ACCOUNT SIZE","PROFIT SPLIT","PROFIT TARGET","MAX. DAILY LOSS","MAX. TOTAL DRAWDOWN","COMMISION PER ROUND LOT (FOREX)","PROFIT TARGET TO DRAWDOWN RATIO","PAYOUT FREQUENCY","TRUST PILOT RATING","YEAR STABLISHED AND COUNTRY","LOYALTY POINTS","Name","Original Price","Discount Price","Account Size","Profit Split","Phase 1 Profit Target","Phase 2 Profit Target","Max Daily Loss","Max Total Drawdown","Daily Drawdown Reset Type","Drawdown Method","Minimun Trading Days","Maximun Trading Days","Stop-loss Required","Profit Target to Drawdown Ratio","Comissions (Forex)","Leverage","Refund Fee","Scaling","Expert Advisors (EAS) Allowed","Copy Trading","News Trading","Weekend Holding","Auto-close at Target","Drawdown Blocker","Payout Frequency","Max Allocation (without scaling)","Swap Free Accounts","Technology","Broker","Trading Platforms","Trust Pilot Rating","Established","Country","Loyalty Points"
"Trade The Pool","$300.00 $270.00 ","80K 1 step","60%","1: $4,200 (2xDD)","$700","$2,100","$0.005 with a minimum charge of $0.75 per trade","1: 0.5","14 days","4.5","September 2022 Israel","297","Trade The Pool - Super Buying Power - 1-Step - 80K","$300.00","$270.00","80K","60%","$4,200 (2xDD)"," ","$700","$2,100","Balance-based","Static","30 Days","45 Days","No","1: 0.5","$0.005 with a minimum charge of $0.75 per trade","Up to","No","Yes","No","Auto-close at Target","Yes","Yes","No","No","14 days","No limit","No"," ","Interactive Brokers","Trader Evolutions","4.5","September 1, 2022","Israel","297"
"Funded Trading Plus","$397.00 $317.60 ","50K 2 steps","80%","1: 8% 2: 5%","4%","8%","$7/round lot","1: 0.62","Payout on demand, then every 7 Days","4.7","November 2021 United Kingdom","328","Funded Trading Plus - Two-Phase Premium - 2-Steps 50K","$397.00","$317.60","50K","80%","8%","5%","4%","8%","Balance-based","Relative Trailing","None","Unlimited","No","1: 0.62","$7/round lot","Up to 30:1","*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage","Yes","Yes","Yes","Yes","Yes","No","No","Payout on demand, then every 7 Days","400K","No","White-Label","GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)","4.7","November 1, 2021","United Kingdom","328"
"FundedNext","$699.00 $664.05 ","100K 1 step","60% + 15% from challenge phase","1: 25%","5%","10%","$3/round lot","1: 0.4","Monthly","4.5","March 2022 United Arab Emirates","398","FundedNext - Express Non-Consistency - 1-Step 100K","$699.00","$664.05","100K","60% + 15% from challenge phase","25%"," ","5%","10%","Balance-based","Static","10 Days","Unlimited","No","1: 0.4","$3/round lot","Up to 100:1","100%","Yes","Yes","Drawdown Blocker","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","Monthly","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","398"
"FXIFY","$59.00 $47.20 ","10K 3 steps","75%","1: 5% 2: 5% 3: 5%","5%","5%","$0","1: 0.33","First payout on-demand, 30 days then after","4.3","April 2023 United Kingdom","110","FXIFY - 3-Phase - 3-Steps 10K","$59.00","$47.20","10K","75%","5%","5%","5%","5%","Balance-based","Static","5 Days","Unlimited","No","1: 0.33","$0","Up to 30:1","100%","Yes","Yes","Yes","Yes","Yes","No","No","First payout on-demand, 30 days then after","800K","No","White-Label","FXPIG","MT4, MT5, (DXtrade for US traders)","4.3","April 1, 2023","United Kingdom","110"
"Funded Trading Plus","$119.00 $107.10 ","12.5K 1 step","80%","1: 10%","4%","6%","$7/round lot","1: 0.6","Payout on demand, then every 7 Days","4.7","November 2021 United Kingdom","118","Funded Trading Plus - One-Phase Experienced - 1 Step 12.5K","$119.00","$107.10","12.5K","80%","10%"," ","4%","6%","Balance-based","Relative Trailing","None","Unlimited","No","1: 0.6","$7/round lot","Up to 30:1","*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage","Yes","Yes","Payout Frequency","Yes","Yes","No","No","Payout on demand, then every 7 Days","400K","No","White-Label","GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)","4.7","November 1, 2021","United Kingdom","118"
"Breakout","$50.00 $47.50 ","5K 2 steps","80%","1: 5% 2: 10%","5%","8%","$7/ $10,000","1: 0.53","1 day, and then every following day","4.9","November 2023 British Virgin Islands","78","Breakout Prop - Crypto - 2-Step Evaluation - 2-Steps 5K","$50.00","$47.50","5K","80%","5%","10%","5%","8%","Balance-based","Trailing","None","Unlimited","No","1: 0.53","$7/ $10,000","Up to 5:1","0%","Yes","No","30 Days then Bi-weekly or Triple payday or Payout on Demand","Yes","Yes","No","No","1 day, and then every following day","200K","No","White-Label","Bybit","Proprietary trading terminal","4.9","November 1, 2023","British Virgin Islands","78"
"The Trading Pit","$199.00 $179.10 ","20K 2 steps","80%","1: 8% 2: 5%","5%","10%","$5/round lot","1: 0.77","Every 14 days for any amount over $100","4.0","October 2022 Liechtenstein","296","The Trading Pit - CFD Prime - 2-Phase Evaluation - 2-Step 20K","$199.00","$179.10","20K","80%","8%","5%","5%","10%","Balance-based at 16:00 CT","Static","5 Days","Unlimited","Yes","1: 0.77","$5/round lot","Up to 50:1","*Yes, 100% only in the CFD challenge","Yes","Yes","Swap Free Accounts","Allowed with restriction: 2 minutes prior or after to high-impact news","Yes","No","No","Every 14 days for any amount over $100","1 Earning account per user","No","In-House","FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)","4.0","October 1, 2022","Liechtenstein","296"
"Apex Trader Funding","$677.00 $135.40 ","300K 1 step","90%","1: $20,000","None","$7,500","Visit Website FAQ","1: 0.38","14 Days","4.5","January 2021 United States","324","Apex Trader Funding - Tradovate/NinjaTrader Plan - 300K Full - 1-Step - 300K","$677.00","$135.40","300K","90%","$20,000"," ","None","$7,500","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 0.38","Visit Website FAQ","Up to 35 (350 Micros)","No","No","No","Yes","Allowed: Evaluation accounts. Not allowed: Funded accounts","No","No","No","14 Days","20 accounts","No"," ","Rithmic and Tradovate","NinjaTrader","4.5","January 1, 2021","United States","324"
"Lark Funding","$225.00 $202.50 ","25K 2 steps","80%","1: 8% 2: 5%","5%","10%","$7/round lot","1: 0.77","First 30 days, then 14 days","4.3","June 2022 Canada","297","Lark Funding - 2-Stage Evaluation - 2-Steps 25K","$225.00","$202.50","25K","80%","8%","5%","5%","10%","Balance-based","Static","None","Unlimited","No","1: 0.77","$7/round lot","Up to 25:1","No","No","Yes","Technology","Yes","No","Yes","No","First 30 days, then 14 days","600K","Yes","White-Label","ThinkMarkets","cTrader, (DXtrader for US traders)","4.3","June 1, 2022","Canada","297"
"Alpha Capital Group","$297.00 $237.60 ","50K 2 steps","80%","1: 10% 2: 5%","5%","10%","$0","1: 0.67","14 Days","4.4","November 2021 United Kingdom","261","Alpha Capital - Alpha Pro - 2-Step 50K","$297.00","$237.60","50K","80%","10%","5%","5%","10%","Balance-based","Static","3 Days","Unlimited","No","1: 0.67","$0","Up to 100:1","0.25% of the account balance (bonus fee)","Yes","Yes","In-House","Allowed: Swing accounts. Not allowed: Pro accounts (Permitted during Evaluation)","No","No","No","14 Days","400K","No","In-House","ACG Markets","MT5, cTrader, (DXTrade for US traders)","4.4","November 1, 2021","United Kingdom","261"
"Funded Trading Plus","$4,500.00 $4,050.00 ","100K Instant","80%","x","6%","6%","$7/round lot"," ","Payout on demand, then every 7 Days","4.7","November 2021 United Kingdom","4455","Funded Trading Plus - Instant - No Evaluation - 100K","$4,500.00","$4,050.00","100K","80%"," "," ","6%","6%","Balance-based","Relative Trailing","None","Unlimited","No","1:","$7/round lot","Up to 30:1","*Yes, 100% on every plan but in the Instant plan the fee is refund when you reach 10% profit on the funded stage","Yes","Yes","Broker","Yes","No","No","No","Payout on demand, then every 7 Days","400K","No","White-Label","GooeyTrade, Match Trade, Intertrader","MT4, MT5, cTrader, (DXTrade, Match Trader for US traders)","4.7","November 1, 2021","United Kingdom","4455"
"Earn2Trade","$150.00 $60.00 ","25K 1 step","80%","1: $1,750","$550","$1,500","Visit Website FAQ","1: 0.86","7 Days","4.6","January 2017 United States","198","Earn2Trade - Trader Career Path 25K - 1-Step - 25K","$150.00","$60.00","25K","80%","$1,750"," ","$550","$1,500","Balance-based","EOD trailing","10 Days","Unlimited","No","1: 0.86","Visit Website FAQ","Up to Up to 3 contracts","No","Yes","No","Liquidity Providers","Yes","No","No","No","7 Days","3 accounts","No"," ","Phillip Capital, EdgeClear","NinjaTrader, Finamark, R | Trader & R | Trader Pro, Overcharts","4.6","January 1, 2017","United States","198"
"Alpha Capital Group","$50.00 $40.00 ","5K 2 steps","80%","1: 10% 2: 5%","5%","10%","$0","1: 0.67","14 Days","4.4","November 2021 United Kingdom","44","Alpha Capital - Alpha Pro - 2-Step 5K","$50.00","$40.00","5K","80%","10%","5%","5%","10%","Balance-based","Static","3 Days","Unlimited","No","1: 0.67","$0","Up to 100:1","0.25% of the account balance (bonus fee)","Yes","Yes","Trading Platform(s)","Allowed: Swing accounts. Not allowed: Pro accounts (Permitted during Evaluation)","No","No","No","14 Days","400K","No","In-House","ACG Markets","MT5, cTrader, (DXTrade for US traders)","4.4","November 1, 2021","United Kingdom","44"
"My Funded FX","$42.00 $36.75 ","5K 1 step","80%","1: 8%","2% daily pause","8%","$3/round lot (MatchTrade, DXTrade)","1: 1","7 Days","4.2","June 2022 United States","61","My Funded FX - 1-Step Max - 1-Step 5K","$42.00","$36.75","5K","80%","8%"," ","2% daily pause","8%","Balance-based","Static","None","Unlimited","No","1: 1","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","No","Yes","Match Trader, TradeLocker","Allowed with restriction: 3 minutes before and after a red folder news","Yes","Yes","No","7 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","61"
"FXIFY","$499.00 $424.15 ","100K 1 step","75%","1: 10%","5%","6%","$0","1: 0.6","First payout on-demand, 30 days then after","4.3","April 2023 United Kingdom","933","FXIFY - 1-Phase - 1-Step 100K","$499.00","$424.15","100K","75%","10%"," ","5%","6%","Balance-based","Trailing","5 Days","Unlimited","No","1: 0.6","$0","Up to 30:1","100%","Yes","Yes","Buyers Rating","Yes","Yes","No","No","First payout on-demand, 30 days then after","800K","No","White-Label","FXPIG","MT4, MT5, (DXtrade for US traders)","4.3","April 1, 2023","United Kingdom","933"
"Funding Pips","$199.00 $185.07 ","25K 1 step","80%","1: 10%","4%","6%","$2/round lot","1: 0.6","Weekly, every Tuesday","4.3","November 2022 United Arab Emirates","74","Funding Pips - Challenges - 1-Step 25K","$199.00","$185.07","25K","80%","10%"," ","4%","6%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.6","$2/round lot","Up to 50:1","*Yes, 100% but on the 4th payout","Yes","Yes","No","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Weekly, every Tuesday","300K (50K for Pakistan traders)","No","In-House","Liquidity Providers","cTrader, (Match-Trader, TradeLocker for US traders)","4.3","November 1, 2022","United Arab Emirates","74"
"AquaFunded","$377.00 $263.90 ","100K 3 steps","90% or 95%","1: 6% 2: 6% 3: 6%","4%","8%","$5","1: 0.44","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","469","AquaFunded - Shark Challenge - 3-Step Challenge - 3-Steps 100K","$377.00","$263.90","100K","90% or 95%","6%","6%","4%","8%","Equity-based","Static","0","Unlimited","No","1: 0.44","$5","Up to 100:1","100%","Yes","Yes","News Trading","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","469"
"Crypto Fund Trader","$55.00 $51.15 ","5K 2 steps","80%","1: 8% 2: 5%","5%","10%","$3/round lot","1: 0.77","15 trading days, or 30 calendar days","3.9","November 2022 Switzerland","84","Crypto Fund Trader - 2-Phases - 2-Steps 5K","$55.00","$51.15","5K","80%","8%","5%","5%","10%","Balance-based","Static","5 Days","Unlimited","No","1: 0.77","$3/round lot","Up to 100:1","No","No","Yes","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","Yes","No","No","15 trading days, or 30 calendar days","200K","No","In-House","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","November 2, 2022","Switzerland","84"
"Blueberry Funded","$550.00 $467.50 ","100K 1 step","80%","1: 10%","4%","6%","$7/round lot","1: 0.6","14 Days","3.8","August 2024 Saint Vincent and the Grenadines","771","Blueberry Funded - 1 Step Evaluation - 1-Step - 100K","$550.00","$467.50","100K","80%","10%"," ","4%","6%","Balance / Equity - Highest at EOD","Static","3 Days (0.5% of profit to be made)","Unlimited","No, see faqs for more information","1: 0.6","$7/round lot","Up to 1:30","*Yes, on rapid accounts","Yes","Yes","Weekend Holding","No","Yes","Yes","No","14 Days","400K","No","In-House","Blueberry Markets","MT4, MT5, DXTrade","3.8","August 7, 2024","Saint Vincent and the Grenadines","771"
"Maven","$76.00 $69.92 ","20K 1 step","80%","1: 8%","3%","5%","$4/round lot","1: 0.63","14 Days","4.6","November 2022 Canada","92","Maven - 1-Step Challenge - Standard - 1-Step 20K","$76.00","$69.92","20K","80%","8%"," ","3%","5%","Balance / Equity - Highest at EOD","Trailing","None","Unlimited","No","1: 0.63","$4/round lot","Up to 75:1","*Yes, 100% for standard account on 3rd payout","Yes","Yes","Yes","Allowed with restriction: 2 minutes before and after a red folder news","Yes","Yes","No","14 Days","200K","Yes","White-Label","Match Trade","cTrader, (Match Trader for US traders)","4.6","November 1, 2022","Canada","92"
"Funding Pips","$66.00 $61.38 ","10K 2 steps","80%","1: 8% 2: 5%","5%","10%","$2/round lot","1: 0.77","Weekly, every Tuesday","4.3","November 2022 United Arab Emirates","25","Funding Pips - Challenges - 2-Steps 10K","$66.00","$61.38","10K","80%","8%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.77","$2/round lot","Up to 100:1","*Yes, 100% but on the 4th payout","Yes","Yes","Auto-close at Target","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Weekly, every Tuesday","300K (50K for Pakistan traders)","No","In-House","Liquidity Providers","cTrader, (Match-Trader, TradeLocker for US traders)","4.3","November 1, 2022","United Arab Emirates","25"
"My Funded FX","$500.00 $437.50 ","100K 2 steps","80%","1: 8% 2: 5%","5%","8%","$3/round lot (MatchTrade, DXTrade)","1: 0.62","14 Days","4.2","June 2022 United States","722","My Funded FX - 2-Step Normal - 2-Steps 100K","$500.00","$437.50","100K","80%","8%","5%","5%","8%","Balance-based","Static","3 days of .5% profit per day","Unlimited","No","1: 0.62","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","Yes","Yes","Yes","Allowed with restriction: 3 minutes before and after a red folder news","Yes","No","No","14 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","722"
"My Funded Futures","$150.00 $90.00 ","100K 1 step","90%","1: $6,000","$2,400","$3,500"," ","1: 0.5","5 winning days of $200 minimum","4.5","November 2023 United States","188","My Funded Futures - Starter 100K - 1-Step - 100K","$150.00","$90.00","100K","90%","$6,000"," ","$2,400","$3,500","No daily drawdown","Trailing","1 Day","Unlimited","No","1: 0.5"," ","Up to 6 Minis or 60 Micros","No","Yes","No","Drawdown Blocker","No","No","No","No","5 winning days of $200 minimum","10 accounts/1.5M","No"," ","Tradovate, DXFeed","TradingView, Tradovate, Ninjatrader, DxFeed, Quantower, Volumetrica Trading, ATAS, Volsys, Volbook","4.5","November 1, 2023","United States","188"
"Goat Funded Trader","$84.00 $42.00 ","8K 2 steps","40%(payout on demand) or 80% (30days)","1: 10% 2: 5%","5%","10%","$7/round lot","1: 0.67","30 Days or Triple payday or Payout on Demand","4.1","May 2023 Spain","69","Goat Funded Trader - No Time Limit - 2-Steps 8K","$84.00","$42.00","8K","40%(payout on demand) or 80% (30days)","10%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.67","$7/round lot","Up to 100:1","0%","Yes","Yes","Yes","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","69"
"Goat Funded Trader"," ","5K 2 steps","40%(payout on demand) or 80% (30days)","1: 8% 2: 6%","4%","10%","$7/round lot","1: 0.71","30 Days or Triple payday or Payout on Demand","4.1","May 2023 Spain","25","Goat Funded Trader - Goat - 2-Steps 5K","$30.00"," ","5K","40%(payout on demand) or 80% (30days)","8%","6%","4%","10%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.71","$7/round lot","Up to 50:1","0%","Yes","Yes","Payout Frequency","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","25"
"Funding Traders","$50.00 $35.00 ","5K 1 step","90%","1: 10%","4%","5%","$3/round lot","1: 0.5","14 Days","4.5","April 2023 United Arab Emirates","77","Funding Traders - 1-Step Evaluation - 1-Step 5K","$50.00","$35.00","5K","90%","10%"," ","4%","5%","Balance-based","Trailing","None","Unlimited","*No, but you can’t lose more than 2% on any single trade.","1: 0.5","$3/round lot","Up to 100:1","100%","Yes","Yes","Weekly, every Tuesday","Yes","Yes","No","No","14 Days","2M","Yes","In-House","FUTRAD, Galaxy Path Capital","MT5, (DXtrade,TradeLocker for US traders)","4.5","April 1, 2023","United Arab Emirates","77"
